alleleSymbol,alleleName,acc,project,geneSymbol,gacc
2010111I01Rik<tm1a(KOMP)Wtsi>,"aminopeptidase O; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4941982,KOMP-CSD,Aopep,MGI:1919311
2010111I01Rik<tm1b(KOMP)Wtsi>,,MGI:1919311,,,
2010300C02Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 2010300C02 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4364312,KOMP-CSD,2010300C02Rik,MGI:1919347
2010300C02Rik<tm1b(KOMP)Wtsi>,"RIKEN cDNA 2010300C02 gene; targeted mutation 1b, Wellcome Trust Sanger Institute",MGI:5637062,KOMP-CSD,2010300C02Rik,MGI:1919347
2210010C04Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 2210010C04 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4888876,KOMP-CSD,2210010C04Rik,MGI:1914623
2210016L21Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 2210016L21 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4419127,KOMP-CSD,2210016L21Rik,MGI:1919607
2310007B03Rik<tm1a(KOMP)Wtsi>,"mab-21-like 4; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4362992,KOMP-CSD,Mab21l4,MGI:1919124
2310022B05Rik<tm1a(EUCOMM)Hmgu>,"RIKEN cDNA 2310022B05 gene; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4436328,EUCOMM,2310022B05Rik,MGI:1916801
2310057J18Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 2310057J18 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4364593,KOMP-CSD,2310057J18Rik,MGI:1914969
2610318N02Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 2610318N02 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4451963,EUCOMM,2610318N02Rik,MGI:1917708
2610318N02Rik<tm1b(EUCOMM)Wtsi>,"RIKEN cDNA 2610318N02 gene; targeted mutation 1b, Wellcome Trust Sanger Institute",MGI:5548598,EUCOMM,2610318N02Rik,MGI:1917708
2700049A03Rik<tm1.1Arte>,"RIKEN cDNA 2700049A03 gene; targeted mutation 1.1, TaconicArtemis",MGI:5287574,0,2700049A03Rik,MGI:1924217
2810006K23Rik<tm1(KOMP)Mbp>,"RIKEN cDNA 2810006K23 gene; targeted mutation 1, Mouse Biology Program, UCDavis",MGI:4456523,KOMP-CSD,2810006K23Rik,MGI:1919900
2810408A11Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 2810408A11 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4431683,EUCOMM,2810408A11Rik,MGI:1917669
2900026A02Rik<tm1a(EUCOMM)Hmgu>,"RIKEN cDNA 2900026A02 gene; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4435426,EUCOMM,2900026A02Rik,MGI:1920194
3110001I22Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 3110001I22 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4434304,EUCOMM,3110001I22Rik,MGI:1913848
3300002A11Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 3300002A11 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4887592,KOMP-CSD,3300002A11Rik,MGI:1919073
3830406C13Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 3830406C13 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:5286250,KOMP-CSD,3830406C13Rik,MGI:1917937
3830406C13Rik<tm1b(KOMP)Wtsi>,"RIKEN cDNA 3830406C13 gene; targeted mutation 1b, Wellcome Trust Sanger Institute",MGI:5637049,KOMP-CSD,3830406C13Rik,MGI:1917937
3830417A13Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 3830417A13 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4841046,KOMP-CSD,3830417A13Rik,MGI:1917946
4921536K21Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 4921536K21 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4363036,KOMP-CSD,4921536K21Rik,MGI:1914680
4930404H24Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 4930404H24 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:5050148,KOMP-CSD,4930404H24Rik,MGI:1925401
4930449E01Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 4930449E01 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4841164,KOMP-CSD,4930449E01Rik,MGI:1922114
4930590J08Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 4930590J08 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4882021,EUCOMM,4930590J08Rik,MGI:2685917
4930591A17Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 4930591A17 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4944391,KOMP-CSD,4930591A17Rik,MGI:1915425
4931429L15Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 4931429L15 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4460419,EUCOMM,4931429L15Rik,MGI:1921611
4932414N04Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 4932414N04 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4364741,KOMP-CSD,4932414N04Rik,MGI:1922971
4932438A13Rik<tm1a(EUCOMM)Hmgu>,"RIKEN cDNA 4932438A13 gene; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4841479,EUCOMM,4932438A13Rik,MGI:2444631
4932438A13Rik<tm1b(EUCOMM)Hmgu>,"RIKEN cDNA 4932438A13 gene; targeted mutation 1b, Helmholtz Zentrum Muenchen GmbH",MGI:5613665,EUCOMM,4932438A13Rik,MGI:2444631
4932438H23Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 4932438H23 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4433980,EUCOMM,4932438H23Rik,MGI:1921637
4933402N03Rik<tm2a(KOMP)Wtsi>,"RIKEN cDNA 4933402N03 gene; targeted mutation 2a, Wellcome Trust Sanger Institute",MGI:4820121,KOMP-CSD,4933402N03Rik,MGI:1914681
4933425L06Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 4933425L06 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4363980,KOMP-CSD,4933425L06Rik,MGI:1914013
4933430I17Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 4933430I17 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4432117,EUCOMM,4933430I17Rik,MGI:3045314
4933434E20Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA 4933434E20 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4432969,EUCOMM,4933434E20Rik,MGI:1914027
5330417C22Rik<tm1a(EUCOMM)Hmgu>,"RIKEN cDNA 5330417C22 gene; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4436415,EUCOMM,5330417C22Rik,MGI:1923930
8030411F24Rik<tm2a(EUCOMM)Wtsi>,"cystatin domain containing 1; targeted mutation 2a, Wellcome Trust Sanger Institute",MGI:4840668,EUCOMM,Cstdc1,MGI:1925859
9330182L06Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA 9330182L06 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4841114,KOMP-CSD,9330182L06Rik,MGI:2443264
A1cf<Tg(Myh6-cre/Esr1*)1Jmk>,"APOBEC1 complementation factor; transgene insertion 1, Jeffery D Molkentin",MGI:3050453,0,A1cf,MGI:1917115
A430005L14Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA A430005L14 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4419175,KOMP-CSD,A430005L14Rik,MGI:2140680
A430078G23Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA A430078G23 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:5426632,KOMP-CSD,A430078G23Rik,MGI:2442135
A830019P07Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA A830019P07 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4820036,KOMP-CSD,A830019P07Rik,MGI:3028035
A830031A19Rik<tm1a(KOMP)Wtsi>,"RIKEN cDNA A830031A19 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4841190,KOMP-CSD,A830031A19Rik,MGI:2685508
A830031A19Rik<tm1b(KOMP)Wtsi>,,MGI:2685508,,,
A930004D18Rik<tm1a(EUCOMM)Wtsi>,"RIKEN cDNA A930004D18 gene; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4441782,EUCOMM,A930004D18Rik,MGI:1925190
AI182371<tm2a(KOMP)Wtsi>,"expressed sequence AI182371; targeted mutation 2a, Wellcome Trust Sanger Institute",MGI:5286211,KOMP-CSD,AI182371,MGI:2138853
Aak1<tm1a(EUCOMM)Hmgu>,"AP2 associated kinase 1; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4847759,EUCOMM,Aak1,MGI:1098687
Aatk<tm1a(KOMP)Wtsi>,"apoptosis-associated tyrosine kinase; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4939710,KOMP-CSD,Aatk,MGI:1197518
Abca3<tm1.1Holz>,"ATP-binding cassette, sub-family A (ABC1), member 3; targeted mutation 1.1, Andreas Holzinger",MGI:5788724,0,Abca3,MGI:1351617
Abca3<tm1Holz>,"ATP-binding cassette, sub-family A (ABC1), member 3; targeted mutation 1, Andreas Holzinger",MGI:3716562,0,Abca3,MGI:1351617
Abca4<tm1a(EUCOMM)Wtsi>,"ATP-binding cassette, sub-family A (ABC1), member 4; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4441732,EUCOMM,Abca4,MGI:109424
Abcb11<tm1a(EUCOMM)Hmgu>,"ATP-binding cassette, sub-family B (MDR/TAP), member 11; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4434682,EUCOMM,Abcb11,MGI:1351619
Abcb11<tm1b(EUCOMM)Hmgu>,"ATP-binding cassette, sub-family B (MDR/TAP), member 11; targeted mutation 1b, Helmholtz Zentrum Muenchen GmbH",MGI:5548476,EUCOMM,Abcb11,MGI:1351619
Abcb6<tm1a(KOMP)Wtsi>,"ATP-binding cassette, sub-family B (MDR/TAP), member 6; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4362220,KOMP-CSD,Abcb6,MGI:1921354
Abcc2<tm2a(KOMP)Wtsi>,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2; targeted mutation 2a, Wellcome Trust Sanger Institute",MGI:4947743,KOMP-CSD,Abcc2,MGI:1352447
Abcd1<tm1a(EUCOMM)Wtsi>,"ATP-binding cassette, sub-family D (ALD), member 1; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4433571,EUCOMM,Abcd1,MGI:1349215
Abcd4<tm1a(EUCOMM)Hmgu>,"ATP-binding cassette, sub-family D (ALD), member 4; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4434636,EUCOMM,Abcd4,MGI:1349217
Abcg1<tm1Yah>,"ATP binding cassette subfamily G member 1; targeted mutation 1, Yann Herault",MGI:4421206,0,Abcg1,MGI:107704
Abhd14a<tm2a(EUCOMM)Wtsi>,"abhydrolase domain containing 14A; targeted mutation 2a, Wellcome Trust Sanger Institute",MGI:4842383,EUCOMM,Abhd14a,MGI:1915894
Abhd16a<tm1a(EUCOMM)Wtsi>,"abhydrolase domain containing 16A; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4820220,EUCOMM,Abhd16a,MGI:99476
Abhd17a<tm1a(KOMP)Wtsi>,"abhydrolase domain containing 17A; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:5013744,KOMP-CSD,Abhd17a,MGI:106388
Abhd17a<tm1c(KOMP)Wtsi>,,MGI:106388,,,
Abhd5<tm1a(KOMP)Wtsi>,"abhydrolase domain containing 5; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4364049,KOMP-CSD,Abhd5,MGI:1914719
Abracl<tm1e(KOMP)Wtsi>,"ABRA C-terminal like; targeted mutation 1e, Wellcome Trust Sanger Institute",MGI:4944406,KOMP-CSD,Abracl,MGI:1920362
Abtb2<tm1a(KOMP)Wtsi>,"ankyrin repeat and BTB (POZ) domain containing 2; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4451397,KOMP-CSD,Abtb2,MGI:2139365
Aby,mutant Aby,MGI:5752853,0,Aby,MGI:5752851
Aca15,ACMaster abnormality 15,MGI:5618623,0,Aca15,MGI:5618620
Acaa1a<tm1a(KOMP)Wtsi>,"acetyl-Coenzyme A acyltransferase 1A; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4451483,KOMP-CSD,Acaa1a,MGI:2148491
Acaa1b<tm1Vnf>,"acetyl-Coenzyme A acyltransferase 1B; targeted mutation 1, Valerie Nicolas-Frances",MGI:3617359,0,Acaa1b,MGI:3605455
Acad12<tm1a(EUCOMM)Wtsi>,"acyl-Coenzyme A dehydrogenase family, member 12; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4842615,EUCOMM,Acad12,MGI:2443320
Acad12<tm1b(EUCOMM)Wtsi>,,MGI:2443320,,,
Acap3<tm1a(EUCOMM)Hmgu>,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4436565,EUCOMM,Acap3,MGI:2153589
Acbd3<tm1a(EUCOMM)Hmgu>,"acyl-Coenzyme A binding domain containing 3; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4458770,EUCOMM,Acbd3,MGI:2181074
Acbd3<tm1b(EUCOMM)Hmgu>,"acyl-Coenzyme A binding domain containing 3; targeted mutation 1b, Helmholtz Zentrum Muenchen GmbH",MGI:5548778,EUCOMM,Acbd3,MGI:2181074
Acbd5<tm1a(EUCOMM)Wtsi>,"acyl-Coenzyme A binding domain containing 5; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4842354,EUCOMM,Acbd5,MGI:1921409
Acbd5<tm1b(EUCOMM)Wtsi>,"acyl-Coenzyme A binding domain containing 5; targeted mutation 1b, Wellcome Trust Sanger Institute",MGI:5637073,EUCOMM,Acbd5,MGI:1921409
Acer1<tm1a(EUCOMM)Wtsi>,"alkaline ceramidase 1; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4432648,EUCOMM,Acer1,MGI:2181962
Ackr3<tm2a(EUCOMM)Wtsi>,"atypical chemokine receptor 3; targeted mutation 2a, Wellcome Trust Sanger Institute",MGI:5085477,EUCOMM,Ackr3,MGI:109562
Acmsd<tm1a(EUCOMM)Hmgu>,"amino carboxymuconate semialdehyde decarboxylase; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:5014638,EUCOMM,Acmsd,MGI:2386323
Acot13<tm1a(EUCOMM)Wtsi>,"acyl-CoA thioesterase 13; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4434369,EUCOMM,Acot13,MGI:1914084
Acot5<tm1a(KOMP)Wtsi>,"acyl-CoA thioesterase 5; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4364061,KOMP-CSD,Acot5,MGI:2384969
Acot6<tm1a(KOMP)Wtsi>,"acyl-CoA thioesterase 6; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4362231,KOMP-CSD,Acot6,MGI:1921287
Acox2<em1Pvv>,"acyl-Coenzyme A oxidase 2, branched chain; endonuclease-mediated mutation 1, Paul Van Veldhoven",MGI:5749441,0,Acox2,MGI:1934852
Acp2<tm1a(EUCOMM)Wtsi>,"acid phosphatase 2, lysosomal; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4431704,EUCOMM,Acp2,MGI:87882
Acsbg2<tm1a(EUCOMM)Wtsi>,"acyl-CoA synthetase bubblegum family member 2; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4432785,EUCOMM,Acsbg2,MGI:3587728
Acsl3<Gt(OST148301)Lex>,"acyl-CoA synthetase long-chain family member 3; gene trap OST148301, Lexicon Genetics",MGI:3529071,Lexicon,Acsl3,MGI:1921455
Acsl4<tm1a(EUCOMM)Wtsi>,"acyl-CoA synthetase long-chain family member 4; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4431605,EUCOMM,Acsl4,MGI:1354713
Actl10<tm1a(EUCOMM)Wtsi>,"actin-like 10; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:5473172,EUCOMM,Actl10,MGI:1917612
Actn4<tm1a(EUCOMM)Wtsi>,"actinin alpha 4; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4441842,EUCOMM,Actn4,MGI:1890773
Actr3<Gt(A009F03)Vau>,"ARP3 actin-related protein 3; gene trap mutation A009F03, Franz Vauti",MGI:3765916,0,Actr3,MGI:1921367
Actr6<tm1a(EUCOMM)Wtsi>,"ARP6 actin-related protein 6; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4434280,EUCOMM,Actr6,MGI:1914269
Acvr1c<tm1Cfi>,"activin A receptor, type IC; targeted mutation 1, Carlos F Ibanez",MGI:3512292,0,Acvr1c,MGI:2661081
Adal<tm1a(EUCOMM)Wtsi>,"adenosine deaminase-like; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:5302350,EUCOMM,Adal,MGI:1923144
Adam10<tm2Psa>,"a disintegrin and metallopeptidase domain 10; targeted mutation 2, Paul Saftig",MGI:4838238,0,Adam10,MGI:109548
Adam17<tm1a(EUCOMM)Wtsi>,"a disintegrin and metallopeptidase domain 17; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4434074,EUCOMM,Adam17,MGI:1096335
Adam23<tm1a(EUCOMM)Hmgu>,"a disintegrin and metallopeptidase domain 23; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:4462649,EUCOMM,Adam23,MGI:1345162
Adam3<tm1(KOMP)Wtsi>,"a disintegrin and metallopeptidase domain 3 (cyritestin); targeted mutation 1, Wellcome Trust Sanger Institute",MGI:4364424,KOMP-CSD,Adam3,MGI:102518
Adamts19<tm4a(EUCOMM)Wtsi>,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 19; targeted mutation 4a, Wellcome Trust Sanger Institute",MGI:5527601,EUCOMM,Adamts19,MGI:2442875
Adamts1<tm1Dgen>,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1; targeted mutation 1, Deltagen",MGI:5427602,Deltagen,Adamts1,MGI:109249
Adamts2<tm1Dgen>,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2; targeted mutation 1, Deltagen",MGI:5427636,Deltagen,Adamts2,MGI:1347356
Adamts3<tm1a(KOMP)Wtsi>,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4841315,KOMP-CSD,Adamts3,MGI:3045353
Adamts3<tm1b(KOMP)Wtsi>,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3; targeted mutation 1b, Wellcome Trust Sanger Institute",MGI:5585728,KOMP-CSD,Adamts3,MGI:3045353
Adamts5<tm1Lex>,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2); targeted mutation 1, Lexicon Genetics",MGI:3529332,Lexicon,Adamts5,MGI:1346321
Adamts9<Mhdaund3>,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9; Martin Hrabe de Angelis undefined 3",MGI:3530329,0,Adamts9,MGI:1916320
Adamts9<Mhdaund4>,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9; Martin Hrabe de Angelis undefined mutation 4",MGI:5629512,0,Adamts9,MGI:1916320
Adamtsl5<tm1a(EUCOMM)Hmgu>,"ADAMTS-like 5; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:5430118,EUCOMM,Adamtsl5,MGI:1913798
Adap1<tm1a(EUCOMM)Wtsi>,"ArfGAP with dual PH domains 1; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4944490,EUCOMM,Adap1,MGI:2442201
Adar<tm1a(EUCOMM)Wtsi>,"adenosine deaminase, RNA-specific; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4432463,EUCOMM,Adar,MGI:1889575
Adcy1<tm1a(EUCOMM)Wtsi>,"adenylate cyclase 1; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4441907,EUCOMM,Adcy1,MGI:99677
Adcy2<tm1a(KOMP)Wtsi>,"adenylate cyclase 2; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4451651,KOMP-CSD,Adcy2,MGI:99676
Adcy3<tm1a(EUCOMM)Wtsi>,"adenylate cyclase 3; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4432916,EUCOMM,Adcy3,MGI:99675
Adcy9<tm1a(EUCOMM)Wtsi>,"adenylate cyclase 9; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4433478,EUCOMM,Adcy9,MGI:108450
Adcy9<tm1b(EUCOMM)Wtsi>,"adenylate cyclase 9; targeted mutation 1b, Wellcome Trust Sanger Institute",MGI:5636912,EUCOMM,Adcy9,MGI:108450
Adcyap1r1<tm1Dgen>,"adenylate cyclase activating polypeptide 1 receptor 1; targeted mutation 1, Deltagen",MGI:5427637,Deltagen,Adcyap1r1,MGI:108449
Add2<tm1Feb>,"adducin 2 (beta); targeted mutation 1, Francisco E Baralle",MGI:2149087,0,Add2,MGI:87919
Adgrb1<tm2a(EUCOMM)Wtsi>,"adhesion G protein-coupled receptor B1; targeted mutation 2a, Wellcome Trust Sanger Institute",MGI:5006776,EUCOMM,Adgrb1,MGI:1933736
Adgrd1<tm1a(EUCOMM)Wtsi>,"adhesion G protein-coupled receptor D1; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4432831,EUCOMM,Adgrd1,MGI:3041203
Adgrd1<tm1b(EUCOMM)Wtsi>,"adhesion G protein-coupled receptor D1; targeted mutation 1b, Wellcome Trust Sanger Institute",MGI:5548892,EUCOMM,Adgrd1,MGI:3041203
Adgrg1<tm1Dgen>,"adhesion G protein-coupled receptor G1; targeted mutation 1, Deltagen",MGI:5427671,Deltagen,Adgrg1,MGI:1340051
Adgrg6<m1Mhda>,"adhesion G protein-coupled receptor G6; mutation 1, Martin Hrabe de Angelis",MGI:5818737,0,Adgrg6,MGI:1916151
Adgrl2<tm1Dgen>,"adhesion G protein-coupled receptor L2; targeted mutation 1, Deltagen",MGI:5427677,Deltagen,Adgrl2,MGI:2139714
Adgrl4<tm1Dgen>,"adhesion G protein-coupled receptor L4; targeted mutation 1, Deltagen",MGI:5427665,Deltagen,Adgrl4,MGI:2655562
Adh5<tm1a(EUCOMM)Wtsi>,"alcohol dehydrogenase 5 (class III), chi polypeptide; targeted mutation 1a, Wellcome Trust Sanger Institute",MGI:4432854,EUCOMM,Adh5,MGI:87929
Adipor1<tm1a(EUCOMM)Hmgu>,"adiponectin receptor 1; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:5289879,EUCOMM,Adipor1,MGI:1919924
Adipor2<tm1a(EUCOMM)Hmgu>,"adiponectin receptor 2; targeted mutation 1a, Helmholtz Zentrum Muenchen GmbH",MGI:5286361,EUCOMM,Adipor2,MGI:93830
